,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,AQI
473,38.81,158.75,5.65,16.09,262.0,25.84,1.37,2.74,49.33,3.09,2.52,138.0
474,34.65,134.47,4.35,12.86,184.0,25.01,1.87,2.71,50.77,2.86,2.91,137.0
475,31.89,160.06,4.69,19.53,228.0,25.6,1.65,3.82,62.54,6.46,4.3,134.0
476,33.61,168.98,5.82,13.97,249.0,22.65,0.64,6.92,65.97,9.52,6.04,119.0
477,34.83,130.54,6.28,10.21,201.0,26.41,0.94,4.09,48.47,9.6,5.93,98.0
478,39.01,107.52,9.13,19.84,513.0,27.43,0.98,3.9,49.78,14.91,7.88,107.0
479,39.53,92.73,7.26,19.55,413.0,20.86,2.09,4.16,47.44,16.39,8.95,150.0
480,37.17,103.22,6.77,16.25,342.0,25.49,0.71,3.39,47.77,5.19,4.95,94.0
481,39.88,68.46,7.67,21.35,430.0,24.94,0.72,3.74,56.94,11.29,6.26,85.0
482,32.59,56.09,5.91,22.96,418.0,19.65,1.53,5.23,43.48,3.72,3.43,115.0
483,47.42,54.05,20.84,22.55,1098.0,18.06,0.6,5.65,39.29,7.21,11.94,74.0
484,48.78,58.28,5.64,23.05,441.0,17.12,0.67,4.34,47.83,8.11,5.52,88.0
485,46.6,59.08,9.97,20.19,655.0,17.48,0.82,4.12,53.75,5.29,3.32,86.0
486,35.86,63.4,4.47,23.12,426.0,16.11,0.49,4.17,74.38,5.35,4.4,87.0
487,39.87,63.61,8.72,28.17,516.0,19.71,0.62,5.62,68.49,5.57,4.86,99.0
488,40.79,63.42,6.61,43.48,831.0,20.1,0.6,4.37,46.14,4.44,7.41,80.0
489,57.96,56.57,4.08,32.02,518.0,16.71,0.55,4.58,45.77,3.68,5.24,102.0
490,46.0,58.14,13.5,34.28,743.0,17.66,0.66,7.17,40.96,6.79,6.71,76.0
491,23.99,35.12,2.85,19.03,252.0,16.79,1.15,4.1,95.21,1.74,2.88,59.0
492,27.21,44.02,26.89,34.02,1140.0,17.82,0.69,3.15,53.32,2.45,5.18,67.0
493,26.43,42.02,69.97,75.84,1354.0,16.68,0.6,2.89,52.09,1.77,4.01,107.0
494,20.46,34.82,6.44,26.1,420.0,16.5,0.6,3.66,58.13,3.77,5.69,95.0
495,32.5,230.2,5.74,20.91,358.0,16.75,0.99,4.01,50.62,2.74,6.69,72.0
496,57.81,50.58,4.39,12.56,161.0,16.13,0.88,3.11,45.59,2.98,6.78,91.0
497,31.19,54.8,7.37,14.44,320.0,19.08,0.67,3.77,54.95,2.79,7.96,88.0
498,34.06,45.82,5.54,10.89,150.0,23.06,0.72,4.08,70.86,3.24,5.73,86.0
501,27.01,39.39,6.67,18.35,407.0,19.96,0.91,4.16,22.93,3.3,3.76,50.0
502,36.67,42.55,5.28,21.65,394.0,11.28,0.61,3.71,20.18,2.48,4.97,74.0
503,27.51,41.15,11.01,23.46,605.0,36.19,0.47,5.04,20.14,2.43,7.06,47.0
504,28.47,29.97,2.66,5.53,46.0,7.22,0.56,4.42,32.59,1.54,2.92,46.0
505,22.27,33.48,2.09,10.54,89.0,7.84,0.52,3.81,30.79,1.32,3.34,48.0
506,42.52,41.96,1.96,8.91,72.0,8.66,0.42,4.46,29.76,1.35,3.81,35.0
507,152.94,43.16,1.41,9.86,76.0,9.56,1.08,3.36,27.96,1.99,12.03,83.0
508,28.65,52.72,1.84,11.01,100.0,9.71,0.78,3.91,32.6,2.03,5.53,173.0
509,25.75,40.98,1.55,6.83,45.0,10.37,0.42,4.91,31.86,1.28,3.75,50.0
533,33.9,48.51,5.99,18.94,350.0,38.77,0.97,3.39,14.93,1.75,9.06,28.0
534,31.98,80.7,7.93,20.46,470.0,34.41,3.8,4.05,9.69,1.59,4.16,156.0
535,26.77,105.43,6.42,15.29,219.0,31.78,4.02,4.64,11.99,1.01,2.51,195.0
536,27.61,72.63,9.28,21.69,449.0,37.12,2.12,4.5,10.92,1.16,1.58,137.0
538,29.83,23.86,5.48,17.61,300.0,32.55,0.33,1.79,31.87,1.57,2.94,77.0
539,19.0,15.46,3.39,16.91,194.0,32.35,1.61,1.9,53.33,1.11,2.73,143.0
540,15.04,23.51,3.91,17.15,186.0,30.59,5.43,1.73,65.62,0.95,1.96,181.0
543,16.54,48.92,9.12,26.15,571.0,43.21,3.02,2.1,45.27,1.27,2.65,33.0
544,27.23,34.13,8.54,23.71,637.0,45.56,3.63,1.87,38.45,1.08,2.2,151.0
545,115.98,17.1,8.59,24.19,558.0,44.18,2.48,1.58,39.09,0.97,2.58,174.0
546,13.95,48.92,7.33,20.42,444.0,37.66,3.55,1.86,39.53,0.95,1.91,154.0
547,25.0,35.36,5.42,19.59,507.0,41.94,5.62,1.26,44.86,0.87,1.8,208.0
548,31.8,9.93,3.27,15.96,210.0,35.09,6.28,1.1,51.84,0.79,2.05,192.0
549,17.36,30.52,10.96,20.82,428.0,29.15,7.87,1.54,42.29,0.77,2.03,238.0
550,19.4,112.27,12.8,23.11,548.0,32.37,4.04,1.86,33.37,1.07,2.26,160.0
551,18.36,57.25,10.01,19.9,501.0,31.94,2.27,2.18,35.67,0.53,0.53,83.0
591,21.57,97.04,5.63,14.87,111.0,40.59,3.59,1.75,19.82,4.29,2.84,38.0
606,27.16,59.6,4.61,20.93,41.0,40.64,0.77,4.62,28.48,1.94,26.35,47.0
608,35.17,51.69,3.61,19.08,14.0,40.41,0.42,3.7,20.34,10.7,68.02,49.0
618,43.95,68.24,4.78,19.99,6.0,104.81,0.57,3.55,28.99,0.95,2.47,84.0
619,24.72,57.37,4.12,21.18,0.0,43.84,0.36,3.77,22.02,0.47,0.26,64.0
621,23.04,48.92,5.23,12.98,7.0,43.25,0.41,9.3,44.94,0.77,0.17,60.0
622,13.59,45.66,3.62,21.47,17.0,43.42,0.52,2.96,36.66,0.59,0.26,60.0
623,11.1,41.09,8.1,29.29,526.0,39.83,0.97,3.76,39.12,0.56,6.38,74.0
624,32.23,57.94,10.28,32.53,1356.0,13.14,0.89,7.68,22.05,0.34,2.14,66.0
625,41.01,79.93,8.32,25.42,63.0,5.14,0.8,4.59,36.26,0.67,0.27,70.0
627,26.31,49.89,4.44,30.0,295.0,24.8,0.25,3.38,19.1,0.82,0.36,58.0
628,32.98,44.55,4.23,26.31,292.0,30.77,0.2,4.3,16.09,0.81,0.35,47.0
629,43.4,33.79,4.89,26.08,151.0,55.78,0.38,5.07,17.18,1.0,0.39,40.0
630,32.46,52.66,4.99,23.58,238.0,35.92,0.52,4.53,22.04,1.96,4.97,58.0
631,26.6,103.69,6.32,21.48,160.0,120.07,0.46,5.37,16.37,5.2,1.46,76.0
632,39.41,102.24,7.88,29.0,220.0,84.68,0.52,3.87,10.98,0.5,2.27,102.0
